0,45,90,135,180,label
-68,-63,-64,-63,-64,1
-58,-64,-67,-72,-65,1
-58,-58,-73,-70,-69,1
-64,-62,-57,-54,-54,1
-44,-49,-51,-48,-47,1
-68,-63,-64,-63,-64,1
-59,-58,-66,-66,-63,1
-65,-62,-65,-62,-64,1
-66,-66,-69,-69,-64,1
-57,-63,-64,-67,-57,1
-58,-64,-67,-72,-65,1
-56,-55,-55,-65,-55,1
-62,-71,-60,-63,-56,1
-62,-71,-60,-63,-56,1
-53,-65,-60,-55,-53,1
-66,-59,-55,-54,-69,1
-53,-55,-66,-62,-59,1
-44,-49,-51,-48,-47,1
-56,-60,-67,-63,-58,1
-54,-57,-57,-51,-52,1
-54,-57,-57,-51,-52,1
-64,-66,-62,-63,-58,1
-53,-55,-66,-62,-59,1
-66,-59,-55,-54,-69,1
-57,-63,-64,-67,-57,1
-54,-55,-63,-63,-61,1
-57,-59,-60,-58,-61,1
-58,-58,-73,-70,-69,1
-68,-63,-64,-63,-64,1
-56,-60,-67,-63,-58,1
-53,-65,-60,-55,-53,1
-64,-66,-62,-63,-58,1
-44,-49,-51,-48,-47,1
-56,-60,-64,-67,-62,1
-54,-55,-63,-63,-61,1
-62,-71,-60,-63,-56,1
-58,-58,-73,-70,-69,1
-66,-66,-69,-69,-64,1
-68,-67,-61,-61,-57,1
-54,-55,-63,-63,-61,1
-56,-60,-67,-63,-58,1
-55,-53,-53,-53,-63,2
-55,-58,-62,-58,-55,2
-47,-46,-48,-49,-47,2
-58,-56,-62,-57,-61,2
-63,-58,-60,-69,-59,2
-54,-52,-58,-59,-52,2
-47,-46,-48,-49,-47,2
-44,-42,-54,-44,-45,2
-55,-53,-53,-53,-63,2
-55,-53,-53,-53,-63,2
-58,-56,-62,-57,-61,2
-47,-46,-48,-49,-47,2
-44,-41,-51,-43,-46,2
-54,-55,-64,-52,-61,2
-54,-52,-58,-59,-52,2
-47,-46,-48,-49,-47,2
-43,-43,-52,-45,-54,2
-54,-52,-58,-59,-52,2
-54,-55,-64,-52,-61,2
-58,-56,-62,-57,-61,2
